PersonSequence10000
0.005928
0.005748
0.005328
0.006469
0.006384
0.005582
0.006649
0.005918
0.004514
0.005496
0.005049
0.005023
0.006612
0.006000
0.005480
0.005092
0.013896
0.008298
0.005126
0.013606
0.006654
0.004477
0.003929
0.010528
0.004506
0.005453
0.005140
0.003106
0.007358
0.004683
0.006407
0.004950
0.003988
0.004082
0.004197
0.005440
0.004555
0.003991
0.003607
0.004338
0.004573
0.005485
0.003953
0.004471
0.003867
0.004470
0.004050
0.004691
0.003978
0.003362
0.003045
0.003245
0.003850
0.002963
0.004343
0.004511
0.003898
0.004200
0.004050
0.006690
0.003893
0.004351
0.004684
0.004411
0.003594
0.004351
0.003975
0.003962
0.003607
0.003548
0.004385
0.004172
0.004349
0.005975
0.004853
0.005353
0.005817
0.004296
0.004377
0.004524
0.004279
0.004233
0.004405
0.004564
0.003886
0.004305
0.004783
0.004839
0.005318
0.004909
0.003930
0.003968
0.003737
0.003649
0.003422
0.003440
0.004532
0.004949
0.004540
0.005043
