MixedSequence2000
0.001640
0.001803
0.002531
0.002453
0.001687
0.001645
0.001454
0.001694
0.001730
0.001558
0.001353
0.001670
0.001512
0.002225
0.002195
0.001640
0.001880
0.001710
0.002718
0.001615
0.001462
0.002116
0.001356
0.001659
0.001729
0.002854
0.001514
0.001536
0.001723
0.001878
0.002020
0.001635
0.001744
0.001545
0.001603
0.003010
0.001522
0.002032
0.002142
0.002887
0.001462
0.001737
0.001473
0.001711
0.001906
0.001916
0.001347
0.001472
0.001505
0.001884
0.002247
0.001420
0.001423
0.001498
0.001791
0.001674
0.001874
0.001495
0.001391
0.001901
0.001597
0.001592
0.001936
0.001399
0.001457
0.001374
0.001705
0.001279
0.002668
0.001543
0.001511
0.001898
0.001294
0.002498
0.001831
0.001616
0.001460
0.001147
0.001487
0.001374
0.001212
0.001209
0.001794
0.001476
0.001355
0.001722
0.001459
0.001293
0.001340
0.001454
0.001618
0.001188
0.003073
0.001966
0.001315
0.001839
0.001586
0.001175
0.001024
0.001183
