PersonSequence200
0.000966
0.000967
0.000861
0.000607
0.000636
0.001088
0.000698
0.000562
0.000480
0.000687
0.000663
0.000612
0.000534
0.000565
0.000438
0.000393
0.000417
0.000341
0.000644
0.000418
0.000383
0.000512
0.000409
0.001289
0.000712
0.000664
0.000710
0.002278
0.000776
0.000780
0.000886
0.000918
0.000830
0.001304
0.000946
0.000725
0.000803
0.001949
0.000803
0.000705
0.000782
0.000781
0.000905
0.000924
0.001056
0.001042
0.001089
0.001025
0.000930
0.000959
0.000911
0.000642
0.000585
0.000833
0.000454
0.000460
0.000886
0.000445
0.000591
0.000538
0.000483
0.000558
0.000554
0.000444
0.000659
0.000432
0.000451
0.000509
0.000554
0.000579
0.000667
0.000573
0.000741
0.001185
0.000723
0.001078
0.001024
0.001338
0.001106
0.001098
0.001027
0.001011
0.000648
0.000933
0.000654
0.000685
0.000632
0.000613
0.000639
0.000573
0.000707
0.000703
0.000625
0.000540
0.000623
0.000626
0.000915
0.000577
0.001655
0.000575
