MixedSequence1000
0.001220
0.001055
0.001165
0.001596
0.003132
0.001245
0.001009
0.001037
0.000954
0.001040
0.001154
0.001292
0.001043
0.001067
0.001170
0.001031
0.001001
0.001006
0.001050
0.000940
0.000739
0.001039
0.000870
0.000736
0.000768
0.001083
0.000889
0.000719
0.000774
0.000720
0.001040
0.000788
0.000635
0.000645
0.000688
0.000692
0.000642
0.000749
0.001140
0.000816
0.000828
0.000970
0.000932
0.001116
0.000812
0.000780
0.001089
0.000796
0.001480
0.001065
0.000978
0.000838
0.000875
0.001867
0.000976
0.001011
0.000966
0.000819
0.000967
0.000779
0.000708
0.000672
0.000860
0.000700
0.001078
0.000914
0.001618
0.000625
0.000638
0.000875
0.000744
0.000704
0.000799
0.000984
0.000696
0.002102
0.001176
0.000852
0.000994
0.001101
0.000951
0.000930
0.000940
0.001219
0.001006
0.000975
0.000920
0.000886
0.000893
0.002061
0.001025
0.000789
0.000668
0.000984
0.000679
0.000766
0.000658
0.000682
0.000759
0.000741
